url,job_id,title,location,reg_temp,dept,start_dt,end_dt,salary_low,salary_high,career_interest
https://careers.umich.edu/job_detail/240653/,240653,Customer Help Desk Technician Associate,Flint Campus,Regular,Flint ITS,10/17/2023,10/31/2023,"$37,800.00","$47,200.00",Information Technology
https://careers.umich.edu/job_detail/233695/,233695,MLabs Business Systems Analyst/Connectivity Team Lead,Michigan Medicine - Ann Arbor,Regular,MM Path MLabs Division,10/06/2023,10/20/2023,,,Information Technology;Pathology/Laboratory Services
https://careers.umich.edu/job_detail/240413/,240413,Online Learning Developer Senior,Ann Arbor Campus,Regular,Center for Academic Innovation,10/09/2023,11/08/2023,"$85,000.00","$100,000.00",Information Technology
https://careers.umich.edu/job_detail/237475/,237475,RESEARCH FELLOW,Ann Arbor Campus,Regular,MM Comp Med and Bioinformatics,9/05/2023,10/31/2023,,,Research Fellows
https://careers.umich.edu/job_detail/240568/,240568,Business Intelligence Analyst Intermediate,Ann Arbor Campus,Regular,Shared Services Center,10/10/2023,10/24/2023,"$64,850.00","$77,900.00",Administration
https://careers.umich.edu/job_detail/235406/,235406,Senior / Intermediate Statistician,Ann Arbor Campus,Regular,MM IHPI 231135,10/16/2023,12/15/2023,,,Research
https://careers.umich.edu/job_detail/239750/,239750,Postdoc Fellow in Great Lakes Climate Variability Research Cooperative Institute for Great Lakes Research,Ann Arbor Campus,Regular,SEAS CIGLR,9/19/2023,11/14/2023,,,Research Fellows
https://careers.umich.edu/job_detail/239495/,239495,Research Analytics Facilitator,Ann Arbor Campus,Regular,MM Precision Health Initiative,10/11/2023,11/08/2023,,,Information Technology
https://careers.umich.edu/job_detail/240777/,240777,Research Intelligence Analyst,Ann Arbor Campus,Regular,UMOR Office of VP for Research,10/16/2023,11/06/2023,"$80,000.00","$95,000.00",Administration
https://careers.umich.edu/job_detail/240827/,240827,Web Designer Apprenticeship,Ann Arbor Campus,Regular,LSA Dean: TS Web&App Dev Svcs,10/16/2023,10/30/2023,"$47,600.00","$51,500.00",Information Technology
https://careers.umich.edu/job_detail/240414/,240414,Business Systems Analyst Intermediate,Michigan Medicine - Ann Arbor,Regular,MM HITS ETS InfraSvcs-EDEM,10/06/2023,10/20/2023,,,Information Technology
https://careers.umich.edu/job_detail/236383/,236383,RESEARCH FELLOW,Ann Arbor Campus,Regular,MM Biomedical Engineering - MS,10/10/2023,12/09/2023,,,Research Fellows
https://careers.umich.edu/job_detail/240396/,240396,Research Technology Operations Manager,Ann Arbor Campus,Regular,ITS ARC Advanced Research Comp,10/17/2023,10/31/2023,"$100,000.00","$115,000.00",Information Technology
https://careers.umich.edu/job_detail/240384/,240384,Clinical Data Abstractor,Ann Arbor Campus,Temporary,MM Int Med-Hospital Medicine,10/04/2023,10/18/2023,,,Temporary Job Opening
https://careers.umich.edu/job_detail/239916/,239916,Data Analyst,Ann Arbor Campus,Regular,Office of Budget & Planning,9/27/2023,10/22/2023,"$75,000.00","$95,000.00",Administration;Finance;Research
https://careers.umich.edu/job_detail/231143/,231143,Research App Programmer/Analyst,Ann Arbor Campus,Regular,Biostatistics Department,10/02/2023,10/31/2023,"$87,324.00","$107,871.00",Information Technology
https://careers.umich.edu/job_detail/239201/,239201,Research Computing Consultant,Ann Arbor Campus,Regular,ROSS SCH Research Support,9/25/2023,10/22/2023,"$74,000.00","$82,000.00",Research
https://careers.umich.edu/job_detail/236218/,236218,RESEARCH FELLOW,Ann Arbor Campus,Regular,MM Department of Radiology,7/24/2023,10/22/2023,,,Research Fellows
https://careers.umich.edu/job_detail/240522/,240522,Manager of Automation Services,Ann Arbor Campus,Regular,Shared Services Center,10/09/2023,10/23/2023,"$109,930.00","$137,000.00",Information Technology
https://careers.umich.edu/job_detail/240698/,240698,Database Analyst/Prgm Inter,Ann Arbor Campus,Regular,MM Int Med-General Medicine,10/18/2023,11/01/2023,,,Information Technology
https://careers.umich.edu/job_detail/240010/,240010,MADC Imaging Research Assistant,Ann Arbor Campus,Regular,MM Neurology Department,10/11/2023,11/30/2023,,,Research
https://careers.umich.edu/job_detail/229148/,229148,Bioinformatics-Computational Biologist Lead/Senior,Ann Arbor Campus,Regular,Biostatistics Department,10/02/2023,10/31/2023,"$98,273.00","$121,396.00",Research
